time,body_id,mass,x,y,z,vx,vy,vz
40000.0,8,6.293250332675079e+24,597646383.3053159,-171647006.76308453,-41691661.33094579,-417.3373136897138,332.11654033619465,-522.919919789598
40000.0,9,9.6333450285479e+24,-670824636.0436664,778076782.8308227,161756823.024222,-322.5022457966803,-518.7015444108857,-529.6498672971771
50000.0,0,1.554118165150887e+23,-857606376.4698911,-136055452.7067944,-501441207.83357006,351.53012817484336,-349.83157289688603,-224.97026835299573
50000.0,1,2.6523384296295672e+23,205741182.26881984,513395012.98367625,-131578295.2341151,-178.13818615407504,-245.61239206372844,-443.55314950083687
50000.0,2,9.406705410554697e+24,-667217675.2023485,-121227836.94739856,-297749218.2109178,-384.23718687550985,-288.52723609396446,-496.062998893913
50000.0,3,3.358963612509865e+24,-726956677.7843045,509167383.69774926,-838359313.7603011,-9.764321547473934,-241.47437006572193,-403.7135675607815
50000.0,4,7.418048871488694e+24,823307530.4505663,20204999.809501056,-792645040.0573597,-231.2425489081333,488.34766332012936,-442.8150842127891
50000.0,5,3.685693586328256e+24,-268323677.13091582,395786322.16734886,-615109183.2433357,157.39907530728914,326.2321824178605,-428.74991908308834
50000.0,6,6.226357146557448e+24,41050512.56368705,-579999626.8855423,150084034.20043898,287.3924360341788,105.57372263611938,-543.123016340835
50000.0,7,8.465520410768719e+24,214310175.41277155,874353279.0000944,222274978.05691668,-160.40431846921143,47.2822777280596,-535.3070464213029
50000.0,8,6.293250332675079e+24,593406561.7476572,-168304756.37046582,-46948922.35491416,-430.63629453312507,336.3218637265752,-528.5239074851057
50000.0,9,9.6333450285479e+24,-673992643.7785608,772841747.2708244,156422761.04529744,-311.09672101223225,-528.2992174619881,-537.1706680984292
60000.0,0,1.554118165150887e+23,-853756310.6011865,-139479087.45841697,-503374589.4531844,418.84940244071,-334.79277621430055,-161.03030278055732
60000.0,1,2.6523384296295672e+23,203912449.30574557,510951481.77263755,-135961208.27451658,-187.59581151796175,-243.10891549246628,-433.0716209464386
60000.0,2,9.406705410554697e+24,-671005366.2555628,-124056488.03760873,-302705753.175033,-373.3119551525853,-277.1996481403126,-495.2460501965397
60000.0,3,3.358963612509865e+24,-726982921.9067298,506708165.6054783,-842299902.0121202,4.515356463940923,-250.3553515651187,-384.39745381211367
60000.0,4,7.418048871488694e+24,820941959.6909466,25090425.811851595,-797015915.1548518,-241.878668383896,488.73169347236137,-431.35765198748356
60000.0,5,3.685693586328256e+24,-266790816.08687767,399017020.71263295,-619326895.958239,149.18468795890604,319.9059120546118,-414.80607712710713
60000.0,6,6.226357146557448e+24,43929345.113359034,-578863521.439924,144609628.86414745,288.37332103093075,121.66021228765041,-551.7598050128006
60000.0,7,8.465520410768719e+24,212657877.06815055,874771037.6718178,216886478.48701033,-170.04498991442458,36.257593340657344,-542.3954314383865
60000.0,8,6.293250332675079e+24,589033470.9837556,-164920797.55143413,-52261977.777140915,-443.99177205641536,340.45807107192087,-534.0788894340408
60000.0,9,9.6333450285479e+24,-677046512.9662973,767510914.7094653,151013246.42333794,-299.6737719861407,-537.8616685139338,-544.7409389828407
70000.0,0,1.554118165150887e+23,-849221515.6789613,-142749128.23668882,-504647442.0341376,488.5575158463203,-319.0923618143901,-92.72871876213043
70000.0,1,2.6523384296295672e+23,201989505.78948367,508532555.51691055,-140240529.2753668,-196.98078160079046,-240.69004606079267,-422.8330343765475
70000.0,2,9.406705410554697e+24,-674684131.0100778,-126771755.33472723,-307654203.81600255,-362.4524450479471,-265.84948150507057,-494.44877456057736
70000.0,3,3.358963612509865e+24,-726866363.7740424,504160538.37401855,-846047116.5797914,18.797120376810998,-259.1570204746086,-365.03701682135016
70000.0,4,7.418048871488694e+24,818469813.5659931,29979519.804250445,-801272142.8343406,-252.5582799744372,489.0812142746773,-419.884988518108
70000.0,5,3.685693586328256e+24,-265339770.84034812,402184394.80214155,-623405547.2243813,141.0347091791932,313.5658311938218,-400.93572128326537
70000.0,6,6.226357146557448e+24,46817965.20392721,-577566159.0861214,139048798.19518942,289.3500277405747,137.82657493123133,-560.40868933144
70000.0,7,8.465520410768719e+24,210909470.2310159,875078194.3299953,211427014.19565007,-179.626683472623,25.16122719263145,-549.500553794475
70000.0,8,6.293250332675079e+24,584526527.7766585,-161495826.30776328,-57630339.96118149,-457.40741272585706,344.52416326816814,-539.5853264400113
70000.0,9,9.6333450285479e+24,-679986046.842996,762084616.1407719,145527768.30146873,-288.22888996682076,-547.393136612462,-552.3639303158834
80000.0,0,1.554118165150887e+23,-843975537.9421299,-145858304.49370328,-505211812.4041656,561.1857903444356,-302.59348321975375,-19.160056283933883
80000.0,1,2.6523384296295672e+23,199973064.17391205,506137427.3415816,-144418638.66903195,-206.29590004693088,-238.34801045277928,-412.82771677398944
80000.0,2,9.406705410554697e+24,-678254644.7148621,-129373384.78504471,-312594849.7180092,-351.6625699605574,-254.4711942964398,-493.6883213836343
80000.0,3,3.358963612509865e+24,-726606953.3437268,501525271.2776774,-849600460.7217569,33.0868111725799,-267.8841123072203,-345.6215373576997
80000.0,4,7.418048871488694e+24,815890637.695357,34871935.219541274,-805413552.7729512,-263.2852867253055,489.39592172209075,-408.3934907317856
80000.0,5,3.685693586328256e+24,-263969932.5612817,405288263.81792647,-627345816.6985183,132.94211108975034,307.20347958932905,-387.12790237199124
80000.0,6,6.226357146557448e+24,49716333.392228834,-576106697.4328126,133401403.24110581,290.3230119422835,154.08158564434927,-569.0732852222983
80000.0,7,8.465520410768719e+24,209065525.22498056,875274012.9124558,205896401.23330027,-189.15327528340293,13.989310427546835,-556.6257305671685
80000.0,8,6.293250332675079e+24,579885111.8536447,-158030549.55712634,-63053525.1835671,-470.8869577838973,348.5189543611973,-545.0435395642484
